Top pages,Last 7 days Clicks,Previous 7 days Clicks,Last 7 days Impressions,Previous 7 days Impressions,Last 7 days CTR,Previous 7 days CTR,Last 7 days Position,Previous 7 days Position
https://tjmautocare.id/,204,203,7565,6371,2.7%,3.19%,4.8,4.69
https://tjmautocare.id/layanan/paket-kaki-kaki,75,50,6080,6092,1.23%,0.82%,6.1,7.4
https://tjmautocare.id/kota/bekasi,61,25,2252,1233,2.71%,2.03%,5.04,5.46
https://tjmautocare.id/kota/surabaya,61,61,1838,1787,3.32%,3.41%,4.88,5.41
https://tjmautocare.id/kota,50,20,3631,1857,1.38%,1.08%,6.17,6.4
https://tjmautocare.id/kota/palembang,48,22,939,513,5.11%,4.29%,4.9,5.34
https://tjmautocare.id/kota/bali,39,24,555,670,7.03%,3.58%,3.81,3.72
https://tjmautocare.id/kota/bandung,38,38,1632,1404,2.33%,2.71%,5.64,5.7
https://tjmautocare.id/kota/medan-1,34,0,630,14,5.4%,0%,4.03,4.21
https://tjmautocare.id/kontak,33,42,3348,3302,0.99%,1.27%,5.84,5.67
https://tjmautocare.id/kota/samarinda,25,26,675,757,3.7%,3.43%,5.07,5.72
https://tjmautocare.id/kota/jogja,19,17,1248,932,1.52%,1.82%,5.67,5.66
https://tjmautocare.id/kota/makassar,13,9,472,437,2.75%,2.06%,4.89,5.41
https://www.tjmautocare.id/kota/makassar,8,4,105,77,7.62%,5.19%,3.12,4.14
https://tjmautocare.id/layanan/paket-shockbreaker,7,2,336,50,2.08%,4%,7.01,4.02
https://www.tjmautocare.id/kota/samarinda,7,6,153,204,4.58%,2.94%,3.8,3.18
https://tjmautocare.id/tentang-kami,6,9,537,782,1.12%,1.15%,5.11,6.29
https://tjmautocare.id/layanan/paket-super-hemat,6,1,208,71,2.88%,1.41%,5.19,6.25
https://tjmautocare.id/partnership,6,9,104,90,5.77%,10%,3.71,5.1
https://tjmautocare.id/layanan/paket-combo-kaki-kaki,4,3,229,147,1.75%,2.04%,5.45,6.22
https://tjmautocare.id/layanan/paket-diesel,4,5,210,143,1.9%,3.5%,5.77,6.48
https://tjmautocare.id/layanan/paket-steering,4,1,91,22,4.4%,4.55%,6.95,5.32
https://tjmautocare.id/layanan,3,6,363,435,0.83%,1.38%,7.18,6.61
https://tjmautocare.id/kota/semarang,3,0,24,9,12.5%,0%,1.54,4.33
https://www.tjmautocare.id/kota/malang,3,1,13,22,23.08%,4.55%,1.69,4.14
https://www.tjmautocare.id/,2,2,250,208,0.8%,0.96%,2.35,2.43
https://www.tjmautocare.id/layanan/paket-special,2,4,236,321,0.85%,1.25%,6.49,7.71
https://tjmautocare.id/google/?gad_source=1&gclid=CjwKCAiA3Na5BhAZEiwAzrfagEbif5SM3TIkBsX8m2pt6BW4dx32GJVEFzZhCWew2yY3hCsHDDwUiBoCNXEQAvD_BwE,2,1,206,238,0.97%,0.42%,4.35,5.61
https://www.tjmautocare.id/kota/palembang,2,0,11,19,18.18%,0%,1.36,3.37
https://tjmautocare.id/layanan/paket-special,1,1,234,292,0.43%,0.34%,4.46,4.42
https://tjmautocare.id/layanan/paket-combo-super-komplit,1,3,91,47,1.1%,6.38%,7.13,6.3
https://tjmautocare.id/layanan/paket-nano-ceramic-coating,1,1,43,38,2.33%,2.63%,12.35,18.5
https://tjmautocare.id/layanan/paket-custom-suspension,1,1,42,46,2.38%,2.17%,5.71,6.35
https://tjmautocare.id/peduli,1,0,13,20,7.69%,0%,12.23,11.3
https://www.tjmautocare.id/layanan/paket-combo-kaki-kaki,0,1,177,130,0%,0.77%,4.28,3.92
https://tjmautocare.id/news,0,0,87,31,0%,0%,12.37,8.68
https://tjmautocare.id/galeri,0,0,60,41,0%,0%,14.5,10.73
https://tjmautocare.id/layanan/paket-combo-pasti-hemat,0,0,38,30,0%,0%,6.42,3.7
https://tjmautocare.id/layanan/paket-triple-combo,0,0,29,41,0%,0%,2.76,2.51
https://tjmautocare.id/blog/tanda-kaki-kaki-mobil-rusak-dan-solusi,0,1,13,18,0%,5.56%,5.85,7.78
https://tjmautocare.id/kemitraan,0,0,11,0,0%,0%,9.55,0
https://tjmautocare.id/berita,0,0,1,0,0%,0%,5,0
https://www.tjmautocare.id/galeri,0,0,0,4,0%,0%,0,3
https://tjmautocare.id/_next/image?url=/bengkel/bengkel1.webp&w=3840&q=75,0,0,0,1,0%,0%,0,26
https://tjmautocare.id/services/service5.webp,0,0,0,1,0%,0%,0,28